,ambition1,confidence1,patience1,kindness1,creativity1,resposibility1,optimism1,courage1,modesty1,perseverance1,ambition2,confidence2,patience2,kindness2,creativity2,resposibility2,optimism2,courage2,modesty2,perseverance2,match
0,0.9,0.85,0.21,0.04,0.26,0.71,0.25,1.0,0.67,0.26,0.41,0.62,0.68,0.27,0.46,0.07,0.7,0.46,0.18,0.15,1
1,0.42,0.27,0.37,0.0,0.55,0.66,0.88,0.25,0.96,0.4,0.17,0.28,0.01,0.44,0.17,0.66,0.9,0.32,0.94,0.21,1
2,0.89,0.79,0.67,0.77,0.61,0.7,0.89,0.8,0.47,0.17,0.71,0.81,0.1,0.56,0.66,0.5,0.29,0.6,0.79,0.85,0
3,0.83,0.51,0.66,0.28,0.77,0.51,0.65,0.36,0.13,0.66,0.08,0.93,0.05,0.76,0.23,0.89,0.8,0.27,0.36,0.28,0
4,0.73,0.32,0.02,0.77,0.08,0.42,0.9,0.98,0.78,0.31,0.28,0.35,0.99,0.65,0.65,0.36,0.86,0.59,0.51,0.01,1
5,0.72,0.24,0.77,0.46,0.04,0.22,0.86,0.37,0.19,0.18,0.41,0.94,0.67,0.38,0.05,0.89,0.01,0.22,0.61,0.51,0
6,0.65,0.54,0.15,0.0,0.93,0.08,0.08,0.05,0.98,0.68,0.54,0.35,0.75,0.32,0.96,0.07,0.46,0.31,0.04,0.49,1
7,0.99,0.47,0.69,0.6,0.45,0.14,0.17,0.95,0.96,0.04,0.41,0.38,0.49,0.52,0.38,0.93,0.59,0.17,0.34,0.7,0
8,0.91,0.08,0.82,0.37,0.92,0.56,0.48,0.18,0.93,0.49,0.72,0.18,0.02,0.0,0.17,0.15,0.71,0.11,0.12,0.23,0
9,0.85,0.43,0.02,0.67,0.5,0.02,0.77,0.28,0.46,0.66,0.33,0.35,0.63,0.81,0.04,0.62,0.8,0.47,0.2,0.83,0
10,0.55,0.56,0.81,0.99,0.68,0.06,0.23,0.08,0.04,0.99,0.48,0.52,0.98,0.45,0.98,0.91,0.95,0.59,0.46,0.56,0
